Age_group,Region,Year,Deaths
65-74 years,Tasmania,2018,737
65-74 years,Tasmania,2019,823
65-74 years,Tasmania,2020,814
65-74 years,Tasmania,2021,868
65-74 years,Tasmania,2022,952
65-74 years,Tasmania,2023,845
75-84 years,Tasmania,2014,1254
75-84 years,Tasmania,2015,1280
75-84 years,Tasmania,2016,1240
75-84 years,Tasmania,2017,1227
75-84 years,Tasmania,2018,1164
75-84 years,Tasmania,2019,1269
75-84 years,Tasmania,2020,1187
75-84 years,Tasmania,2021,1357
75-84 years,Tasmania,2022,1449
75-84 years,Tasmania,2023,1545
85 years and over,Tasmania,2014,1618
85 years and over,Tasmania,2015,1740
85 years and over,Tasmania,2016,1659
85 years and over,Tasmania,2017,1857
85 years and over,Tasmania,2018,1639
85 years and over,Tasmania,2019,1720
85 years and over,Tasmania,2020,1665
85 years and over,Tasmania,2021,1824
85 years and over,Tasmania,2022,1930
85 years and over,Tasmania,2023,1986
All persons,Tasmania,2014,4456
All persons,Tasmania,2015,4640
All persons,Tasmania,2016,4588
All persons,Tasmania,2017,4790
All persons,Tasmania,2018,4287
All persons,Tasmania,2019,4631
All persons,Tasmania,2020,4424
All persons,Tasmania,2021,4814
All persons,Tasmania,2022,5149
All persons,Tasmania,2023,5140
Under 1 year,Victoria,2014,221
Under 1 year,Victoria,2015,200
Under 1 year,Victoria,2016,215
Under 1 year,Victoria,2017,243
Under 1 year,Victoria,2018,234
Under 1 year,Victoria,2019,214
Under 1 year,Victoria,2020,220
Under 1 year,Victoria,2021,238
Under 1 year,Victoria,2022,197
Under 1 year,Victoria,2023,189
1-14 years,Victoria,2014,95
1-14 years,Victoria,2015,106
1-14 years,Victoria,2016,86
1-14 years,Victoria,2017,93
1-14 years,Victoria,2018,74
1-14 years,Victoria,2019,110
1-14 years,Victoria,2020,80
1-14 years,Victoria,2021,86
1-14 years,Victoria,2022,111
1-14 years,Victoria,2023,107
15-24 years,Victoria,2014,220
15-24 years,Victoria,2015,244
15-24 years,Victoria,2016,276
15-24 years,Victoria,2017,238
15-24 years,Victoria,2018,234
15-24 years,Victoria,2019,297
15-24 years,Victoria,2020,246
15-24 years,Victoria,2021,249
15-24 years,Victoria,2022,262
15-24 years,Victoria,2023,272
25-34 years,Victoria,2014,453
25-34 years,Victoria,2015,431
25-34 years,Victoria,2016,498
25-34 years,Victoria,2017,465
25-34 years,Victoria,2018,453
25-34 years,Victoria,2019,467
25-34 years,Victoria,2020,507
25-34 years,Victoria,2021,490
25-34 years,Victoria,2022,505
25-34 years,Victoria,2023,547
35-44 years,Victoria,2014,794
35-44 years,Victoria,2015,818
35-44 years,Victoria,2016,872
35-44 years,Victoria,2017,839
35-44 years,Victoria,2018,800
35-44 years,Victoria,2019,817
35-44 years,Victoria,2020,767
35-44 years,Victoria,2021,770
35-44 years,Victoria,2022,847
35-44 years,Victoria,2023,855
45-54 years,Victoria,2014,1599
45-54 years,Victoria,2015,1641
45-54 years,Victoria,2016,1694
45-54 years,Victoria,2017,1683
45-54 years,Victoria,2018,1635
45-54 years,Victoria,2019,1662
45-54 years,Victoria,2020,1649
45-54 years,Victoria,2021,1667
45-54 years,Victoria,2022,1851
45-54 years,Victoria,2023,1721
55-64 years,Victoria,2014,3163
55-64 years,Victoria,2015,3090
55-64 years,Victoria,2016,3200
55-64 years,Victoria,2017,3230
55-64 years,Victoria,2018,3293
55-64 years,Victoria,2019,3328
55-64 years,Victoria,2020,3330
55-64 years,Victoria,2021,3432
55-64 years,Victoria,2022,3555
55-64 years,Victoria,2023,3459
65-74 years,Victoria,2014,5741
65-74 years,Victoria,2015,5662
65-74 years,Victoria,2016,5833
65-74 years,Victoria,2017,6185
65-74 years,Victoria,2018,6117
65-74 years,Victoria,2019,6165
65-74 years,Victoria,2020,6278
65-74 years,Victoria,2021,6617
65-74 years,Victoria,2022,7060
65-74 years,Victoria,2023,6702
75-84 years,Victoria,2014,10261
75-84 years,Victoria,2015,10174
75-84 years,Victoria,2016,10421
75-84 years,Victoria,2017,10388
75-84 years,Victoria,2018,9979
75-84 years,Victoria,2019,10578
75-84 years,Victoria,2020,10438
75-84 years,Victoria,2021,11134
75-84 years,Victoria,2022,12565
75-84 years,Victoria,2023,12193
85 years and over,Victoria,2014,16101
85 years and over,Victoria,2015,16619
85 years and over,Victoria,2016,16842
85 years and over,Victoria,2017,17509
85 years and over,Victoria,2018,17015
85 years and over,Victoria,2019,17448
85 years and over,Victoria,2020,17544
85 years and over,Victoria,2021,18385
85 years and over,Victoria,2022,20701
85 years and over,Victoria,2023,18895
All persons,Victoria,2014,38648
All persons,Victoria,2015,38985
All persons,Victoria,2016,39937
All persons,Victoria,2017,40875
All persons,Victoria,2018,39834
All persons,Victoria,2019,41086
All persons,Victoria,2020,41059
All persons,Victoria,2021,43068
All persons,Victoria,2022,47654
All persons,Victoria,2023,44940
Under 1 year,Western Australia,2014,86
Under 1 year,Western Australia,2015,90
Under 1 year,Western Australia,2016,115
Under 1 year,Western Australia,2017,85
Under 1 year,Western Australia,2018,89
Under 1 year,Western Australia,2019,82
Under 1 year,Western Australia,2020,76
Under 1 year,Western Australia,2021,74
Under 1 year,Western Australia,2022,94
Under 1 year,Western Australia,2023,86
1-14 years,Western Australia,2014,47
1-14 years,Western Australia,2015,54
1-14 years,Western Australia,2016,47
1-14 years,Western Australia,2017,53
1-14 years,Western Australia,2018,52
1-14 years,Western Australia,2019,47
1-14 years,Western Australia,2020,35
1-14 years,Western Australia,2021,58
1-14 years,Western Australia,2022,51
1-14 years,Western Australia,2023,46
15-24 years,Western Australia,2014,140
15-24 years,Western Australia,2015,156
